                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.75067,                0.51122,                 1.2466,                0.93388,                0.94944,                0.96013,                0.73088,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                    110,                0.73757,                 0.4985,                 1.2351,                0.96657,                0.91993,                0.96535,                0.72786,                      0,                    inf,                      0,              0.0046045,              0.0046045,              0.0046045
                    111,                0.74618,                 0.4937,                 1.2548,                0.96725,                0.88992,                0.96325,                0.73055,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                    112,                0.72914,                0.48739,                 1.2324,                0.94789,                0.89828,                0.94544,                0.72821,                      0,                    inf,                      0,              0.0045055,              0.0045055,              0.0045055
                    113,                0.73653,                0.48451,                 1.2144,                0.94715,                0.90991,                0.96545,                0.74143,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                    114,                0.72242,                0.48755,                 1.2093,                0.95068,                0.93454,                0.96256,                0.73479,                      0,                    inf,                      0,              0.0044065,              0.0044065,              0.0044065
                    115,                0.72581,                0.49537,                 1.2115,                0.95798,                0.91333,                 0.9629,                0.72245,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                    116,                0.69654,                0.46804,                 1.1999,                0.97074,                 0.9366,                0.96723,                0.72562,                      0,                    inf,                      0,              0.0043075,              0.0043075,              0.0043075
                    117,                0.71157,                0.47828,                 1.2124,                0.93196,                0.93539,                0.96767,                0.74804,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                    118,                0.68797,                0.46182,                 1.1869,                0.96006,                0.92252,                0.96628,                0.73939,                      0,                    inf,                      0,              0.0042085,              0.0042085,              0.0042085
                    119,                0.70182,                0.47944,                 1.2027,                0.93847,                0.93378,                0.96669,                0.73212,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                    120,                0.70968,                0.47162,                 1.1929,                0.94769,                0.93657,                0.96431,                0.73054,                      0,                    inf,                      0,              0.0041095,              0.0041095,              0.0041095
                    121,                0.71368,                0.47577,                 1.2139,                0.94928,                0.89298,                0.95407,                0.72684,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                    122,                0.71149,                0.49519,                 1.2205,                0.95352,                  0.903,                0.95909,                0.74126,                      0,                    inf,                      0,              0.0040105,              0.0040105,              0.0040105
                    123,                0.72367,                0.47197,                 1.2051,                0.96707,                0.91334,                0.95598,                0.72441,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                    124,                0.69859,                0.47561,                 1.1941,                0.92801,                0.94112,                0.95702,                0.72854,                      0,                    inf,                      0,              0.0039115,              0.0039115,              0.0039115
                    125,                0.72061,                0.46728,                 1.2169,                0.95792,                0.91054,                0.95546,                0.72018,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                    126,                0.73385,                0.48117,                 1.2235,                0.96241,                0.87781,                0.95431,                 0.7214,                      0,                    inf,                      0,              0.0038125,              0.0038125,              0.0038125
                    127,                0.71139,                0.45501,                 1.2102,                 0.9448,                0.92899,                0.96113,                0.73542,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
